Channel,LocalStartTime,Server,Decoder,Sport,Competition,Home,Away,Information,Region
Fox Cricket HD [501],15-01-2025 08:00,Aus1,Not Set ,Cricket,KFC Twenty20 Big Bash,Adelaide Strikers,Sydney Sixers,,Australia
Infront,15-01-2025 08:02,Itf30,IGM_INF_ITF_CH16 ,Tennis,M25 - Chennai - India,Ramanathan,Kamath,,India
Infront,15-01-2025 08:14,Itf27,IGM_INF_ITF_CH15 ,Tennis,M25 - Chennai - India,Javia,Crawford,,India
Stadium Feed,15-01-2025 08:30,Euro113,CRV_CH01 ,Basketball,NBL,Brisbane Bullets,Perth Wildcats,Regular Season,Australia
Infront,15-01-2025 08:35,Itf20,IGM_INF_ITF_CH13 ,Tennis,M25 - Chennai - India,Dev,Agafonov,,India
NRK 1 [1],15-01-2025 09:00,Euro62,SCAND-2 N ,Ski Jumping,NM 1,,,NM in skiing,Norway
Infront,15-01-2025 09:02,Itf15,IGM_INF_ITF_CH12 ,Tennis,W50-New Delhi-IND,Sato,Robbe,,India
Infront,15-01-2025 09:22,Itf9,IGM_INF_ITF_CH11 ,Tennis,W50-New Delhi-IND,Gureva,Yamaguchi,,India
Modus,15-01-2025 09:30,Euro299,MODUS_CH01 ,Darts,Modus,,,Day Session,UK
Super Sport Cricket [212],15-01-2025 09:30,Sa4,Not Set ,Cricket,KFC Twenty20 Big Bash,Adelaide Strikers,Sydney Sixers,,Australia
Infront,15-01-2025 09:49,Itf24,IGM_INF_ITF_CH14 ,Tennis,M25 - Chennai - India,Sharma/Singh,Bittoun Kouzmine/Ganta,,India
Infront,15-01-2025 09:49,Itf22,IGM_INF_ITF_CH14 ,Tennis,M25 - Chennai - India,Jeong,Park,,India
MBC Sports,15-01-2025 10:00,NewKorea3,Not Set ,Basketball,WKBL,KEB Hana,Woori Hansae,Regular Season,Korea Republic
SBS Sports,15-01-2025 10:00,NewKorea2,Not Set ,Volleyball,V-League Womens,Hi-Pass,Caltex Seoul,,Korea Republic
KBSN Sports,15-01-2025 10:00,NewKorea1,Not Set ,Volleyball,V-League,Daejeon Samsung Fire Bluefangs,Cheonan Hyundai Capital Skywalkers,,Korea Republic
Infront,15-01-2025 10:06,Itf29,IGM_INF_ITF_CH16 ,Tennis,M25 - Chennai - India,Duhan,Palan,,India
Infront,15-01-2025 10:12,Itf7,IGM_INF_ITF_CH10 ,Tennis,W50-New Delhi-IND,Ibragimova,Smith,,India
Infront,15-01-2025 10:22,Itf14,IGM_INF_ITF_CH12 ,Tennis,W50-New Delhi-IND,Chaudhari,Prozorova,,India
Infront,15-01-2025 10:23,Itf19,IGM_INF_ITF_CH13 ,Tennis,M25 - Chennai - India,Bathrinath/Shanmugam,Sakellaridis/Sinha,,India
Infront,15-01-2025 10:35,Itf2,IGM_INF_ITF_CH09 ,Tennis,W50-New Delhi-IND,Raina,Samson,,India
Infront,15-01-2025 10:40,Itf16,IGM_INF_ITF_CH05 ,Tennis,W50-La Marsa-Tunisia,Prisacariu,McAdoo,,Tunisia
Infront,15-01-2025 10:46,Itf12,IGM_INF_ITF_CH11 ,Tennis,W50-New Delhi-IND,Tikhonova,Pedone,,India
Stadium Feed,15-01-2025 11:00,Euro119,TSP_CH02 ,Soccer,Thai Premier League,Prachuap,Sukhothai,Regular Season,Thailand
Stadium Feed,15-01-2025 11:00,Euro114,TSP_CH01 ,Soccer,Thai Premier League,Port,Khonkaen United,Regular Season,Thailand
Infront,15-01-2025 11:11,Itf4,IGM_INF_ITF_CH06 ,Tennis,W50-La Marsa-Tunisia,Zolotareva,Webb,,Tunisia
Infront,15-01-2025 11:47,Itf8,IGM_INF_ITF_CH10 ,Tennis,W50-New Delhi-IND,Semenistaja,Portillo Ramirez,,India
Infront,15-01-2025 11:50,Itf1,IGM_INF_ITF_CH08 ,Tennis,W50-La Marsa-Tunisia,Wang,Tanasie,,Tunisia
Stadium Feed,15-01-2025 12:00,Euro116,TSP_CH04 ,Soccer,Thai Premier League,Buriram United,Chiangrai United,Regular Season,Thailand
Stadium Feed,15-01-2025 12:00,Euro115,TSP_CH03 ,Soccer,Thai Premier League,BG Pathum United,Ratchaburi,Regular Season,Thailand
Infront,15-01-2025 12:11,Itf7,IGM_INF_ITF_CH07 ,Tennis,W50-La Marsa-TN,Ce,Gabric,,Tunisia
Infront,15-01-2025 12:12,Itf10,IGM_INF_ITF_CH11 ,Tennis,W50-New Delhi-IND,Pigossi,Nugroho,,India
Infront,15-01-2025 12:12,Itf3,IGM_INF_ITF_CH09 ,Tennis,W50-New Delhi-IND,Thandi,Udvardy,,India
Infront,15-01-2025 12:26,Itf16,IGM_INF_ITF_CH12 ,Tennis,W50-New Delhi-IND,Bhamidipaty,Kozyreva,,India
Infront,15-01-2025 12:30,Euro212,IGM_INF_CH12 ,Ice Hockey,KHL,Sibir Novosibirsk,Traktor,Regular Season,Russia
Game Postponed,15-01-2025 12:35,Israel0,Not Set ,Soccer,Division 1,Al Najma,Al Jandal,Regular Season,Saudi Arabia
Game Postponed,15-01-2025 12:35,Israel0,Not Set ,Soccer,Division 1,Al Hazem,Al Safa,Regular Season,Saudi Arabia
Infront,15-01-2025 12:57,Itf17,IGM_INF_ITF_CH05 ,Tennis,W50-La Marsa-TN,Knutson,Lukas,,Tunisia
British Eurosport 1 [410],15-01-2025 13:00,Euro57,ASTRA-5 ,Snooker,The Masters ,,,Day 4 - Round 1,Great Britain
209 - ESPN 2,15-01-2025 13:00,Us2,Not Set ,Special Event,News + Analysis,,,SportsCenter,United States
Stadium Feed,15-01-2025 13:00,Euro146,LVM_CH11 ,Soccer,Paulista A2,Oeste,XV de Piracicaba,1st Phase,Brazil
British Eurosport 2 [411],15-01-2025 13:00,Euro50,SKYIE-2 ,Biathlon,Cup,,,Ruhpolding Men's 20km Individual,World
Sport TV 3 [23],15-01-2025 13:00,Euro85,MEO 3 ,Tennis,ATP Open de Oeiras Challengers,,,Oeiras II - Day 2,Portugal
ARD Das Erste,15-01-2025 13:00,Euro24,19FTA-1 ,Winter Sports,FIS World Cup,,,ARD coverage till 16:00 GMT,World
Stadium Feed,15-01-2025 13:05,Euro117,FOR_CH01 ,Soccer,Arabian Gulf League,Ajman,Al Ain,Regular Season,United Arab Emirates
TVP Sport [183],15-01-2025 13:05,Euro15,EPOL ,Biathlon,Cup,,,Men's individual race,World
Infront,15-01-2025 13:12,Itf6,IGM_INF_ITF_CH10 ,Tennis,W50-New Delhi-IND,Maklakova,Craciun,,India
Infront,15-01-2025 13:28,Itf11,IGM_INF_ITF_CH06 ,Tennis,W50-La Marsa-TN,Dinu,Gjorcheska,,Tunisia
Infront,15-01-2025 13:40,Itf5,IGM_INF_ITF_CH08 ,Tennis,W50-La Marsa-Tunisia,You,Koussenkova,,Tunisia
Fox Sports Radio New Jersey [95.9],15-01-2025 14:00,Us29,Not Set ,Special Event,News + Live Sport,,,Fox Sports Radio New Jersey,United States
Al Kass [031 / 501],15-01-2025 14:00,Israel4,Not Set ,Soccer,Iraqi League,Zakho,Al Kahraba,,Iraq
Stadium Feed,15-01-2025 14:00,Euro147,ZSM_CH02 ,Soccer,São Paulo Youth Cup,Vasco da Gama U20,Ceará U20,3rd Round,Brazil
Infront,15-01-2025 14:00,Euro213,IGM_INF_CH13 ,Ice Hockey,KHL,Salavat Yulaev,Neftekhimik,Regular Season,Russia
ESPN New york [98.7],15-01-2025 14:00,Us27,Not Set ,Special Event,News + Live Sport,,,ESPN New York,United States
Stadium Feed,15-01-2025 14:00,Euro111,XVI_CH01 ,Soccer,Premier League,Pyramids,Ghazl El Mehalla,Regular Season,Egypt
Stadium Feed,15-01-2025 14:00,Euro115,LVM_CH03 ,Soccer,Paranaense 1 Div,Andraus Brasil,Azuriz,Group Stage,Brazil
ZEE TV UK [707],15-01-2025 14:00,Euro56,ASTRA-4 ,Cricket,International League T20,Abu Dhabi Knight Riders,Sharjah Warriors,,United Arab Emirates
WFAN Sports Radio [101.9],15-01-2025 14:00,Us28,Not Set ,Special Event,News + Live Sport,,,WFAN Sports Radio,United States
Infront,15-01-2025 14:02,Itf4,IGM_INF_ITF_CH09 ,Tennis,W50-New Delhi-IND,Nitture,Tian,,India
British Eurosport 2 [411],15-01-2025 14:50,Euro50,SKYIE-2 ,Snowboarding,World Cup,,,Bad Gastein Men's and Women's Team Parallel Slalom,World
Benfica TV [28],15-01-2025 15:00,Euro83,MEO 1 ,Soccer,Campeonato Nacional U23,Benfica U23,Gil Vicente U23,Championship Round,Portugal
Super Sport Cricket [212],15-01-2025 15:00,Sa4,Not Set ,Cricket,SA 20 League,Paarl Royals,MI Cape Town,,South Africa
SSC1,15-01-2025 15:05,Israel12,Not Set ,Soccer,Pro League,Al Shabab,Al Riyadh,Regular Season,Saudi Arabia
Pro Arena Ro [312],15-01-2025 15:30,Euro75,ROM-2 ,Handball,Liga nationala feminina,Dunărea Brăila,Râmnicu Vâlcea,Regular Season,Romania
SSC Extra 2,15-01-2025 15:30,Israel14,Not Set ,Soccer,Pro League,Damac,Al Ettifaq,Regular Season,Saudi Arabia
Game Postponed,15-01-2025 15:40,Israel0,Not Set ,Soccer,Division 1,Jeddah,Al Bukayriyah,Regular Season,Saudi Arabia
Stadium Feed,15-01-2025 15:45,Euro118,FIF_CH01 ,Soccer,Première Division,Binga,Réal Bamako,,Mali
Broadcaster Blacked Out,15-01-2025 16:00,Us11,Not Set ,Basketball,Women's College Basketball,Massachusetts,La Salle ,,United States
No available broadcaster,15-01-2025 16:00,Euro0,Not Set ,Volleyball,CEV Champions League,Fenerbahçe,Giesen,Group B,Europe
Stadium Feed,15-01-2025 16:00,Euro119,FIF_CH02 ,Soccer,Première Division,Diarra,USFAS Bamako,,Mali
Sport 5 Plus - [56],15-01-2025 16:00,Israel9,Not Set ,Volleyball,Premier League,Hapoel Mateh Asher,Maccabi Tel Aviv,,Israel
Stadium Feed,15-01-2025 16:00,Euro120,TSW_Ch03 ,Basketball,Euroleague Women,ÇBK Mersin,Avenida,Group E,Europe
KHL,15-01-2025 16:00,Russia3,Not Set ,Ice Hockey,MHL,Dynamo Moskva U20,Amurskie Tigry U20,Western Conference,Russia
659 - ATTPT Root Sports,15-01-2025 16:00,Us9,Not Set ,Basketball,Women's College Basketball,Robert Morris,Cleveland State,,United States
TRT Spor [86],15-01-2025 16:30,Euro2,TURKSAT-2 ,Basketball,Eurocup,Türk Telekom,Hamburg Towers,Group B,Europe
Infront,15-01-2025 16:30,Euro201,IGM_INF_XVI_CH103 ,Ice Hockey,SM-Liiga,Kärpät,Ässät,Regular Season,Finland
Infront,15-01-2025 16:30,Euro203,IGM_INF_XVI_CH101 ,Ice Hockey,SM-Liiga,TPS,KalPa,Regular Season,Finland
Stadium Feed,15-01-2025 16:30,Euro121,TSW_Ch01 ,Basketball,FIBA Europe Cup,Włocławek,Ludwigsburg,Group N,Europe
Canal 11 [11],15-01-2025 16:30,Euro84,MEO 2 ,Soccer,Campeonato Nacional U23,Sporting CP U23,Estoril U23,Championship Round,Portugal
Infront,15-01-2025 16:30,Euro223,IGM_INF_CH40 ,Handball,Ekstraklasa Kobiet,Kobierzyce,Zaglebie Lubin,Regular Season,Poland
Infront,15-01-2025 16:30,Euro204,IGM_INF_XVI_CH51 ,Ice Hockey,Mestis,Kiekko Vantaa,KeuPa,Regular Season,Finland
Al Kass [031 / 501],15-01-2025 16:30,Israel4,Not Set ,Soccer,Iraqi League,Al Zawraa,Al Naft,,Iraq
Infront,15-01-2025 16:30,Euro214,IGM_INF_CH14 ,Ice Hockey,KHL,Vityaz,Sochi,Regular Season,Russia
Match! A Country,15-01-2025 16:30,Russia4,Not Set ,Handball,Superleague Women,CSKA Moskva,Dinamo Sinara,Regular Season,Russia
Infront,15-01-2025 16:30,Euro202,IGM_INF_XVI_CH102 ,Ice Hockey,SM-Liiga,SaiPa,Lukko,Regular Season,Finland
Infront,15-01-2025 16:30,Euro215,IGM_INF_CH15 ,Ice Hockey,KHL,Spartak Moskva,Avtomobilist,Regular Season,Russia
TV2 Sport Denmark [107],15-01-2025 17:00,Euro71,SCAND-11 ,Handball,World Championship,Czechia,Switzerland,Group A,World
Infront,15-01-2025 17:00,Euro253,IGM_INF_CH229 ,Ice Hockey,1. Liga,Presov,Ziar nad Hronom ,,Slovakia
Infront,15-01-2025 17:00,Euro255,IGM_INF_CH227 ,Ice Hockey,1. Liga,HK Detva,HK Levice,,Slovakia
Viasat Sport Extra HD [71],15-01-2025 17:00,Euro65,SCAND-5 S ,Handball,World Championship,Egypt,Argentina,Group H,World
Infront,15-01-2025 17:00,Euro205,IGM_INF_CH03 ,Soccer,Coppa Italia,Lazio,Juventus,Quarter-finals,Italy
Infront,15-01-2025 17:00,Euro254,IGM_INF_CH228 ,Ice Hockey,1. Liga,Povazska Bystrica,Skalica,,Slovakia
Game Postponed,15-01-2025 17:00,Euro0,IGM_INF_CH230 ,Ice Hockey,1. Liga,TEBS Bratislava,Trnava,,Slovakia
5Stars [59],15-01-2025 17:00,Israel10,Not Set ,Soccer,State Cup,Nordia Jerusalem,Ashdod,,Israel
TV2 Sport X DK [108],15-01-2025 17:00,Euro72,DEN-1 ,Handball,World Championship,Netherlands,Guinea,Group D,World
SSC Extra 1,15-01-2025 17:00,Israel13,Not Set ,Soccer,Pro League,Al Kholood,Al Ahli,Regular Season,Saudi Arabia
Infront,15-01-2025 17:00,Euro251,IGM_INF_CH232 ,Ice Hockey,1. Liga,HC 19 Humenne,Trebisov ,,Slovakia
Stadium Feed,15-01-2025 17:00,Euro111,XVI_CH01 ,Soccer,Premier League,Al Ahly,El Gouna,Regular Season,Egypt
SRF 2 [S - 123],15-01-2025 17:00,Euro12,SWISS1 ,Handball,World Championship,Czechia,Switzerland,Group A,World
Infront,15-01-2025 17:00,Euro216,IGM_INF_CH75 ,Soccer,Coupe de France,Bourgoin-Jallieu,Lyon,Round of 32,France
Stadium Feed,15-01-2025 17:00,Euro122,XVI_CH18 ,Ice Hockey,LHL,Zemgale,Mogo,Regular Season,Europe
Match Game,15-01-2025 17:00,Russia2,Not Set ,Basketball,United League,UNICS,Astana,Regular Season,Europe
TV3 Norway [7],15-01-2025 17:00,Euro62,SCAND-2 N ,Handball,World Championship,Portugal,United States,Group E,World
Infront,15-01-2025 17:00,Euro237,IGM_INF_CH08 ,Soccer,State Cup,Nordia Jerusalem,Ashdod,Round of 16,Israel
Infront,15-01-2025 17:00,Euro250,IGM_INF_CH231 ,Ice Hockey,1. Liga,Dubnica,Topolcany,,Slovakia
Polsat Sport [119],15-01-2025 17:20,Euro16,POL-1 ,Volleyball,Cup,CV Melilla,Bogdanka LUK Lublin,Quarter-final match:,Poland
Infront,15-01-2025 17:30,Euro210,IGM_INF_CH77 ,Soccer,Coupe de France,Cannes,Lorient,Round of 32,France
Infront,15-01-2025 17:30,Euro219,IGM_INF_CH78 ,Soccer,Coupe de France,Quevilly-Rouen Métropole,Angers,Round of 32,France
Infront,15-01-2025 17:30,Euro240,IGM_INF_CH02 ,Soccer,Greek Cup,Panathinaikos,Olympiakos,Quarter-finals,Greece
Infront,15-01-2025 17:30,Euro220,IGM_INF_CH79 ,Soccer,Coupe de France,Stade Briochin,Annecy,Round of 32,France
Infront,15-01-2025 17:30,Euro222,IGM_INF_CH68 ,Soccer,Coupe de France,Toulouse,Laval,Round of 32,France
Bundesliga [201] HD,15-01-2025 17:30,Euro25,GER-1 ,Soccer,Bundesliga,Bochum,St. Pauli,Regular Season,Germany
Infront,15-01-2025 17:30,Euro209,IGM_INF_CH69 ,Soccer,Coupe de France,Troyes,Rennes,Round of 32,France
Stadium Feed,15-01-2025 17:30,Euro123,FIB_CH14 ,Basketball,Eurocup Women,Sopron,Györ,Round of 16,Europe
Stadium Feed,15-01-2025 17:30,Euro124,SAT_CH01 ,Basketball,FIBA Champions League,Promitheas,Karşıyaka,Play-In,Europe
Infront,15-01-2025 17:30,Euro221,IGM_INF_CH80 ,Soccer,Coupe de France,Thaon,Strasbourg,Round of 32,France
Infront,15-01-2025 17:30,Euro217,IGM_INF_CH76 ,Soccer,Coupe de France,Brest,Nantes,Round of 32,France
Infront,15-01-2025 18:00,Euro234,IGM_INF_XVI_CH59 ,Ice Hockey,Division 1,Västerviks,Dalen,South,Sweden
Stadium Feed,15-01-2025 18:00,Euro149,LVM_CH12 ,Soccer,Paulista A2,Primavera SP,São Bento,1st Phase,Brazil
Infront,15-01-2025 18:00,Euro238,IGM_INF_CH09 ,Soccer,State Cup,Hapoel Be'er Sheva,Hapoel Hadera,Round of 16,Israel
Sport 5 Live - [58],15-01-2025 18:00,Israel11,Not Set ,Soccer,State Cup,Hapoel Be'er Sheva,Hapoel Hadera,,Israel
316 GOLF -S,15-01-2025 18:00,Us26,Not Set ,Golf,The Bahamas Great Exuma Classic,,,Final Round,Bahamas
Infront,15-01-2025 18:00,Euro225,IGM_INF_XVI_CH11 ,Ice Hockey,HockeyAllsvenskan,Djurgården,AIK,Regular Season,Sweden
Stadium Feed,15-01-2025 18:00,Euro165,ZSM_CH03 ,Soccer,São Paulo Youth Cup,Grêmio U20,Goiás U20,3rd Round,Brazil
Stadium Feed,15-01-2025 18:00,Euro150,LVM_CH13 ,Soccer,Paulista A2,Taubaté,Portuguesa Santista,1st Phase,Brazil
Infront,15-01-2025 18:00,Euro230,IGM_INF_XVI_CH61 ,Ice Hockey,Division 1,Enköping,Wings Arlanda,Placement Round,Sweden
***Technical Issue***,15-01-2025 18:00,Aus3,Not Set ,Golf,The Bahamas Great Exuma Classic,,,Final Round,Bahamas
Infront,15-01-2025 18:00,Euro231,IGM_INF_XVI_CH62 ,Ice Hockey,Division 1,Alvesta SK,Grästorps,South,Sweden
Infront,15-01-2025 18:00,Euro224,IGM_INF_CH47 ,Basketball,Slovenian Cup,Hopsi Polzela,Šentjur,Quarter-finals,Slovenia
Infront,15-01-2025 18:00,Euro235,IGM_INF_XVI_CH56 ,Ice Hockey,Division 1,Forshaga,Sollentuna,North,Sweden
Infront,15-01-2025 18:00,Euro233,IGM_INF_XVI_CH60 ,Ice Hockey,Division 1,Mariestad,Halmstad,South,Sweden
Infront,15-01-2025 18:00,Euro241,IGM_INF_XVI_CH58 ,Ice Hockey,Division 1,Sundsvall,Surahammar,North,Sweden
Stadium Feed,15-01-2025 18:00,Euro125,FIF_CH03 ,Soccer,Première Division,ASKO,Police,,Mali
Infront,15-01-2025 18:00,Euro227,IGM_INF_XVI_CH13 ,Ice Hockey,HockeyAllsvenskan,Västerås,Östersund,Regular Season,Sweden
