Channel,LocalStartTime,Server,Decoder,Sport,Competition,Home,Away,Information,Region
660 - FS OHIO,15-01-2025 00:00,Us12,Not Set ,Ice Hockey,NHL,Columbus Blue Jackets,Philadelphia Flyers,,United States
319 BIGTEN -S,15-01-2025 00:00,Us24,Not Set ,Basketball,Women's College Basketball,Maryland,Minneosta,,United States
Viasat Sport Extra HD [71],15-01-2025 00:00,Euro65,SCAND-5 S ,Ice Hockey,NHL,Detroit Red Wings,San Jose Sharks,,United States
208 - ESPN U,15-01-2025 00:00,Us5,Not Set ,Basketball,NCAA Division I,Alabama,Ole Miss,,United States
209 - ESPN 2,15-01-2025 00:00,Us2,Not Set ,Basketball,NCAA Division I,Kentucky,Texas A+M,,United States
beIN Sport 9 - ME [NA],15-01-2025 00:00,Israel8,Not Set ,Tennis,Australian Open,,,Day 4 John Cain Arena ,Australia
642 - CSN MidAtlantic NBC Wash,15-01-2025 00:00,Us14,Not Set ,Ice Hockey,NHL,Washington Capitals,Anaheim Ducks,,United States
M Deportes 6 [193],15-01-2025 00:00,Euro32,Spain-2 ,Tennis,Australian Open,,,Day 4 Margaret Court Arena,Australia
640 - MASN ,15-01-2025 00:00,Us11,Not Set ,Basketball,NCAA Division I,VCU,Saint Louis,,United States
311 TSN 1 ,15-01-2025 00:00,Us23,Not Set ,Tennis,Australian Open,,,Day 4,Australia
V Sport 1 HD [125],15-01-2025 00:00,Euro63,SCAND-3 S ,Ice Hockey,NHL,Pittsburgh Penguins,Seattle Kraken,,United States
WOWOW Live - 622,15-01-2025 00:00,Jpn8,Not Set ,Tennis,Australian Open,,,Day 4 ,Australia
V Sport Vinter HD [88],15-01-2025 00:00,Euro64,SCAND-4 S ,Ice Hockey,NHL,Boston Bruins,Tampa Bay Lightning,,United States
612 ACC,15-01-2025 00:00,Us3,Not Set ,Basketball,NCAA Division I,Syracuse,Louisville,,United States
beIN Sport 7 - ME [009],15-01-2025 00:00,Israel7,Not Set ,Tennis,Australian Open,,,Day 4 Rod Laver Arena,Australia
221 - CBSSN,15-01-2025 00:00,Us6,Not Set ,Basketball,NCAA Division I,DePaul,Marquette ,,United States
Eurosport 2 Spain [73],15-01-2025 00:00,Euro33,Spain-3 ,Tennis,Australian Open,,,Day 4,Australia
611 - SEC Network,15-01-2025 00:00,Us4,Not Set ,Basketball,NCAA Division I,Auburn,Mississippi State ,,United States
Sport Mix DE [205] HD,15-01-2025 00:00,Euro29,GER-5 ,Ice Hockey,NHL,Toronto Maple Leafs,Dallas Stars,,United States
301 SNE,15-01-2025 00:00,Us26,Not Set ,Golf,PGA Tour,,,TGL Golf,World
245 TNT - D,15-01-2025 00:00,Us10,Not Set ,Basketball,NBA,Indiana Pacers,Cleveland Cavaliers,,United States
752 - League pass,15-01-2025 00:00,Us15,Not Set ,Basketball,NBA,Philadelphia 76ers,Oklahoma City Thunder,,United States
No available coverage,15-01-2025 00:30,Us0,Not Set ,Ice Hockey,NHL,New Jersey Devils,Florida Panthers,,United States
649 - FS-SE,15-01-2025 00:30,Us16,Not Set ,Basketball,NBA,Atlanta Hawks,Phoenix Suns,,United States
British Eurosport 2 [411],15-01-2025 00:30,Euro50,SKYIE-2 ,Tennis,Australian Open,,,Day 4,Australia
315 TSN 5,15-01-2025 00:30,Us21,Not Set ,Ice Hockey,NHL,New York Islanders,Ottawa Senators,,United States
Eurosport 1 ITALY [210],15-01-2025 00:30,Euro6,Sky-IT3 ,Tennis,Australian Open,,,Day - 4,Australia
Eurosport 2 ITALY [211],15-01-2025 00:30,Euro7,Sky-IT4 ,Tennis,Australian Open,,,Day - 4,Australia
Stadium Feed,15-01-2025 00:30,Euro143,ZSM_CH07 ,Soccer,São Paulo Youth Cup,Guarani U20,Atlético Mineiro U20,3rd Round,Brazil
British Eurosport 1 [410],15-01-2025 00:30,Euro57,ASTRA-5 ,Tennis,Australian Open,,,Day 4,Australia
Stadium Feed,15-01-2025 00:45,Euro144,ZSM_CH08 ,Soccer,São Paulo Youth Cup,Botafogo U20,Ponte Preta U20,3rd Round,Brazil
755 - NBA Pass,15-01-2025 01:00,Us18,Not Set ,Basketball,NBA,Chicago Bulls,New Orleans Pelicans ,,United States
Broadcaster Blacked Out,15-01-2025 01:00,Us25,Not Set ,Ice Hockey,NHL,Winnipeg Jets,Vancouver Canucks,,United States
Sport TV 1 [21],15-01-2025 01:00,Euro83,MEO 1 ,Basketball,NBA,Milwaukee Bucks,Sacramento Kings,,United States
782 - Centre Ice 14,15-01-2025 01:00,Us17,Not Set ,Ice Hockey,NHL,Nashville Predators,Vegas Golden Knights,,United States
Premier Sports 1 [412],15-01-2025 01:00,Euro54,ASTRA-2 ,Ice Hockey,NHL,St. Louis Blues,Calgary Flames,,United States
219 - FS1,15-01-2025 01:30,Us8,Not Set ,Basketball,NCAA Division I,Creighton,Providence ,,United States
Stadium Feed,15-01-2025 01:40,Euro112,ADHOC_CH05 ,Basketball,Basketball Champions League Americas,Toros de Chiriqui,Boca Juniors,Group B,World
208 - ESPN U,15-01-2025 02:00,Us5,Not Set ,Basketball,NCAA Division I,Florida,Missouri,,United States
221 - CBSSN,15-01-2025 02:00,Us6,Not Set ,Basketball,NCAA Division I,Kansas State,Texas Tech ,,United States
612 ACC,15-01-2025 02:00,Us3,Not Set ,Basketball,NCAA Division I,Georgia Tech,Clemson,,United States
611 - SEC Network,15-01-2025 02:00,Us4,Not Set ,Basketball,NCAA Division I,LSU,Arkansas,,United States
786 - Centre Ice 18,15-01-2025 02:00,Us9,Not Set ,Ice Hockey,NHL,Utah Hockey Club,Montreal Canadiens,,United States
Stadium Feed,15-01-2025 02:00,Euro110,CIS_CH01 ,Soccer,Primera División,Municipal Liberia,Alajuelense,Clausura,Costa Rica
206 -ESPN 1,15-01-2025 02:00,Us1,Not Set ,Basketball,NCAA Division I,Duke,Miami,,United States
681 - ALT Sprt ,15-01-2025 02:00,Us20,Not Set ,Ice Hockey,NHL,Colorado Avalanche,New York Rangers,,United States
245 TNT - D,15-01-2025 02:30,Us10,Not Set ,Basketball,NBA,Dallas Mavericks,Denver Nuggets,,United States
631 - YES,15-01-2025 03:00,Us11,Not Set ,Basketball,NBA,Portland Trail Blazers,Brooklyn Nets,,United States
314 TSN 4 ,15-01-2025 03:00,Us22,Not Set ,Tennis,Australian Open,,,Early Round Coverage; Day 4,Australia
Stadium Feed,15-01-2025 03:25,Euro104,NZC_CH01 ,Cricket,Super Smash,Auckland Aces,Central Stags,,New Zealand
Stadium Feed,15-01-2025 03:30,Euro101,VIDEON_352 ,Badminton,Indian Open,,,Court 1,India
219 - FS1,15-01-2025 03:30,Us8,Not Set ,Basketball,NCAA Division I,USC,Iowa,,United States
Stadium Feed,15-01-2025 03:30,Euro103,VIDEON_366 ,Badminton,Indian Open,,,Court 3,India
Stadium Feed,15-01-2025 03:30,Euro102,VIDEON_365 ,Badminton,Indian Open,,,Court 2,India
206 -ESPN 1,15-01-2025 04:00,Us1,Not Set ,Basketball,NCAA Division I,Arizona,Baylor,,United States
208 - ESPN U,15-01-2025 04:00,Us5,Not Set ,Basketball,NCAA Division I,Arizona State,UCF,,United States
221 - CBSSN,15-01-2025 04:00,Us6,Not Set ,Basketball,NCAA Division I,San Diego State ,Colorado State ,,United States
Infront,15-01-2025 04:30,Itf17,IGM_INF_ITF_CH13 ,Tennis,M25 - Chennai - India,Bittoun Kouzmine,Sakellaridis,,India
Infront,15-01-2025 04:30,Itf21,IGM_INF_ITF_CH14 ,Tennis,M25 - Chennai - India,Fomin,Kumasaka,,India
Infront,15-01-2025 04:30,Itf25,IGM_INF_ITF_CH15 ,Tennis,M25 - Chennai - India,Rawat,Shah,,India
Infront,15-01-2025 04:40,Itf28,IGM_INF_ITF_CH16 ,Tennis,M25 - Chennai - India,Dzhavakian,Zhukov,,India
TNT Sport 2 [871],15-01-2025 05:15,Euro55,ASTRA-3 ,Cricket,Women's One Day Series,India,Ireland,3rd ODI,World
206 -ESPN 1,15-01-2025 06:00,Us1,Not Set ,Special Event,News + Analysis,,,SportsCenter,United States
TNT Sport 1 [870],15-01-2025 06:00,Euro52,BT EIR 2 ,Soccer,A-League,Wellington Phoenix,Sydney,Regular Season,Australia
Infront,15-01-2025 06:46,Itf18,IGM_INF_ITF_CH13 ,Tennis,M25 - Chennai - India,Shanmugam,Lomakin,,India
Infront,15-01-2025 06:46,Itf26,IGM_INF_ITF_CH15 ,Tennis,M25 - Chennai - India,Kalyanpur,Vanshelboim,,India
Infront,15-01-2025 07:00,Itf11,IGM_INF_ITF_CH11 ,Tennis,W50-New Delhi-IND,Smith,Kudashova,,India
Infront,15-01-2025 07:12,Itf13,IGM_INF_ITF_CH12 ,Tennis,W50-New Delhi-IND,Jakupovic,Adkar,,India
Infront,15-01-2025 07:12,Itf5,IGM_INF_ITF_CH10 ,Tennis,W50-New Delhi-IND,Imamura,Miyazaki,,India
Infront,15-01-2025 07:12,Itf1,IGM_INF_ITF_CH09 ,Tennis,W50-New Delhi-IND,Shimizu,Bhatia,,India
Infront,15-01-2025 07:30,Itf23,IGM_INF_ITF_CH14 ,Tennis,M25 - Chennai - India,AGGARWAL,Banthia,,India
TNT Sport 1 [870],15-01-2025 08:00,Euro52,BT EIR 2 ,Soccer,W-League,Sydney,Canberra United,Regular Season,Australia
