Channel,LocalStartTime,Server,Decoder,Sport,Competition,Home,Away,Information,Region
Infront,16-01-2025 09:55,Itf1,IGM_INF_ITF_CH05 ,Tennis,W50-La Marsa-Tunisia,Knutson,Lukas,,Tunisia
KBSN Sports,16-01-2025 10:00,NewKorea1,Not Set ,Volleyball,V-League Womens,Gwangju AI Peppers,Incheon Hungkuk Life Insurance Pink Spiders,,Korea Republic
SBS Sports,16-01-2025 10:00,NewKorea2,Not Set ,Volleyball,V-League,KB Stars,Rush + Cash,,Korea Republic
MBC Sports,16-01-2025 10:00,NewKorea3,Not Set ,Basketball,WKBL,Busan,Blueminx,Regular Season,Korea Republic
Infront,16-01-2025 10:20,Itf5,IGM_INF_ITF_CH07 ,Tennis,W50-La Marsa-Tunisia,Ce,Gabric,,Tunisia
Infront,16-01-2025 10:40,Itf7,IGM_INF_ITF_CH16 ,Tennis,M25 - Chennai - India,Banthia/Vardhan,Kawahashi/Matsuda,,India
Infront,16-01-2025 10:42,Itf11,IGM_INF_ITF_CH06 ,Tennis,W50-La Marsa-Tunisia,Dinu,Gjorcheska,,Tunisia
Infront,16-01-2025 10:54,Itf2,IGM_INF_ITF_CH07 ,Tennis,W50-La Marsa-Tunisia,Mikulskyte,Klimovicova,,Tunisia
Stadium Feed,16-01-2025 11:00,Euro113,TSP_CH01 ,Soccer,Thai Premier League,Uthai Thani,Bangkok United,Regular Season,Thailand
Infront,16-01-2025 11:00,Itf24,IGM_INF_ITF_CH12 ,Tennis,W50-New Delhi-IND,Bhatia/Chaudhari,Portillo Ramirez/Yashina,,India
Infront,16-01-2025 11:00,Itf1,IGM_INF_ITF_CH05 ,Tennis,W50-La Marsa-Tunisia,Stefanini,Nikcevic,,Tunisia
Infront,16-01-2025 11:12,Itf16,IGM_INF_ITF_CH10 ,Tennis,W50-New Delhi-IND,Bains/Raina,Jakupovic/Pigossi,,India
Not Set,16-01-2025 11:40,Itf41,IGM_INF_ITF_CH41 ,Alpine,World Cup,TEST ,TEST ,Test Event,United States
Infront,16-01-2025 11:50,Itf15,IGM_INF_ITF_CH09 ,Tennis,W50-New Delhi-IND,Kozyreva/Tikhonova,Barnett/Thombare,,India
Stadium Feed,16-01-2025 12:00,Euro114,TSP_CH02 ,Soccer,Thai Premier League,Muangthong United,Rayong,Regular Season,Thailand
Infront,16-01-2025 12:00,Itf20,IGM_INF_ITF_CH11 ,Tennis,W50-New Delhi-IND,Aney/Failla,Semenistaja/Udvardy,,India
KSA Sports 2,16-01-2025 12:30,Israel14,Not Set ,Soccer,Division 1,Al Zulfi,NEOM,Regular Season,Saudi Arabia
Stadium Feed,16-01-2025 12:30,Euro116,XVI_CH02 ,Soccer,Cup,ENPPI,Ismaily,Round of 16,Egypt
Infront,16-01-2025 12:32,Itf6,IGM_INF_ITF_CH07 ,Tennis,W50-La Marsa-Tunisia,Gasanova,Maristany Zuleta de Reales,,Tunisia
Infront,16-01-2025 12:32,Itf5,IGM_INF_ITF_CH05 ,Tennis,W50-La Marsa-Tunisia,McAdoo,Mansouri,,Tunisia
KSA Sports 3,16-01-2025 12:45,Israel13,Not Set ,Soccer,Division 1,Al Jabalain,Al Batin,Regular Season,Saudi Arabia
Sport TV 3 [23],16-01-2025 13:00,Euro85,MEO 3 ,Tennis,ATP Open de Oeiras Challengers,,,Oeiras II - Day 3,Portugal
ARD Das Erste,16-01-2025 13:00,Euro24,19FTA-1 ,Winter Sports,FIS World Cup,,,ARD coverage till 16:00 GMT,World
British Eurosport 2 [411],16-01-2025 13:00,Euro50,SKYIE-2 ,Biathlon,Cup,,,Ruhpolding Women's 15km Individual,World
BBC2 [115],16-01-2025 13:00,Euro53,ASTRA-1 ,Snooker,The Masters ,,,Quarter Final-1,Great Britain
Modus,16-01-2025 13:00,Euro299,MODUS_CH01 ,Darts,Modus,,,Day Session,UK
209 - ESPN 2,16-01-2025 13:00,Us2,Not Set ,Special Event,News + Analysis,,,SportsCenter,United States
British Eurosport 1 [410],16-01-2025 13:00,Euro57,ASTRA-5 ,Snooker,The Masters ,,,Quarter-Final 1,Great Britain
Infront,16-01-2025 13:00,Itf3,IGM_INF_ITF_CH06 ,Tennis,W50-La Marsa-TN,In-Albon,Lazaro Garcia,,Tunisia
Infront,16-01-2025 13:00,Itf13,IGM_INF_ITF_CH08 ,Tennis,W50-La Marsa-Tunisia,You,Koussenkova,,Tunisia
TVP Sport [183],16-01-2025 13:05,Euro15,EPOL ,Biathlon,Cup,,,Women's individual race,World
Infront,16-01-2025 13:53,Itf7,IGM_INF_ITF_CH08 ,Tennis,W50-La Marsa-TN,Vargova,Leonard,,Tunisia
SSC1,16-01-2025 13:55,Israel12,Not Set ,Soccer,Pro League,Al Okhdood,Al Fayha,Regular Season,Saudi Arabia
Stadium Feed,16-01-2025 14:00,Euro111,HGM_CH01 ,Soccer,Club Friendlies,Dinamo Kiev,CSKA 1948 Sofia,Club Friendlies 3,World
Stadium Feed,16-01-2025 14:00,Euro115,XVI_CH01 ,Soccer,Premier League,Zamalek,Haras El Hodood,Regular Season,Egypt
ESPN New york [98.7],16-01-2025 14:00,Us27,Not Set ,Special Event,News + Live Sport,,,ESPN New York,United States
ZEE TV UK [707],16-01-2025 14:00,Euro56,ASTRA-4 ,Cricket,International League T20,Desert Vipers,MI Emirates,,United Arab Emirates
WFAN Sports Radio [101.9],16-01-2025 14:00,Us28,Not Set ,Special Event,News + Live Sport,,,WFAN Sports Radio,United States
Stadium Feed,16-01-2025 14:00,Euro112,HGM_CH02 ,Soccer,Club Friendlies,Viktoria Plzen,AIK,Club Friendlies 3,World
