Channel,LocalStartTime,Server,Decoder,Sport,Competition,Home,Away,Information,Region
Infront,16-01-2025 18:00,Euro202,IGM_INF_XVI_CH92 ,Ice Hockey,SHL,HV71,Färjestad,Regular Season,Sweden
209 - ESPN 2,16-01-2025 18:00,Us2,Not Set ,Golf,Latin America Amateur Championship,,,First Round,United States
Infront,16-01-2025 18:00,Euro218,IGM_INF_XVI_CH56 ,Ice Hockey,Division 1,Hudiksvall,Pitea,North,Sweden
Infront,16-01-2025 18:00,Euro201,IGM_INF_XVI_CH91 ,Ice Hockey,SHL,Leksand,Örebro,Regular Season,Sweden
Infront,16-01-2025 18:00,Euro203,IGM_INF_XVI_CH93 ,Ice Hockey,SHL,Rögle,Frölunda,Regular Season,Sweden
Infront,16-01-2025 18:00,Euro209,IGM_INF_XVI_CH97 ,Ice Hockey,SHL,Luleå,Brynäs,Regular Season,Sweden
Infront,16-01-2025 18:00,Euro208,IGM_INF_XVI_CH96 ,Ice Hockey,SHL,MoDo,Linköping,Regular Season,Sweden
Stadium Feed,16-01-2025 18:00,Euro121,LVM_CH11 ,Soccer,Paulista A2,Rio Claro,Ituano,1st Phase,Brazil
Canal 11 [11],16-01-2025 18:00,Euro83,MEO 1 ,Futsal,Futsal League Portugal,Benfica,Lusitania,,Portugal
***Technical Issue***,16-01-2025 18:00,Aus0,Not Set ,Golf,Latin America Amateur Championship,,,Round 1,United States
Infront,16-01-2025 18:00,Euro204,IGM_INF_XVI_CH94 ,Ice Hockey,SHL,Skellefteå,Växjö Lakers,Regular Season,Sweden
Stadium Feed,16-01-2025 18:00,Euro123,FIF_CH05 ,Soccer,Première Division,Bakaridjan,Afrique Football Élite,,Mali
Stadium Feed,16-01-2025 18:00,Euro124,FIB_CH03 ,Basketball,Euroleague Women,Reyer Venezia,Zaragoza,Group F,Europe
TV2 Sport 1 Nor [17],16-01-2025 18:00,Euro70,SCAND-10 ,Ice Hockey,Elitligaen,Storhamar,Stavanger,Regular Season,Norway
Infront,16-01-2025 18:29,Itf14,IGM_INF_ITF_CH05 ,Tennis,W50-La Marsa-Tunisia,Dinu/Gjorcheska,Mansouri/Vargova,,Tunisia
Stadium Feed,16-01-2025 18:30,Euro127,FIB_CH20 ,Basketball,Eurocup Women,Girona,NKA Universitas Pécs,Round of 16,Europe
Sport TV 3 [23],16-01-2025 18:30,Euro85,MEO 3 ,Soccer,Copa del Rey,Real Sociedad,Rayo Vallecano,Round of 16,Spain
M Copa Del Rey [52],16-01-2025 18:30,Euro34,Spain-4 ,Soccer,Copa del Rey,Athletic Bilbao,Osasuna,Round of 16,Spain
British Eurosport 1 [410],16-01-2025 18:45,Euro57,ASTRA-5 ,Snooker,The Masters ,,,Quarter-Final 2,Great Britain
Infront,16-01-2025 18:54,Itf5,IGM_INF_ITF_CH08 ,Tennis,W50-La Marsa-Tunisia,Lazaro Garcia/Maristany Zuleta de Reales,Fita Boluda/In-Albon,,Tunisia
Stadium Feed,16-01-2025 19:00,Euro130,ZSM_CH01 ,Soccer,São Paulo Youth Cup,Cruzeiro U20,Bahia U20,Round of 16,Brazil
M Deportes 3 [65],16-01-2025 19:00,Euro33,Spain-3 ,Basketball,Euroleague,ASVEL,Berlin,Regular Season,Europe
